date,hour,department,service,is_24_7,operating,demand,simulated_arrivals,patients_served,patients_remaining,maximum_queue,average_wait_minutes,maximum_wait_minutes,capacity,utilization_pct,congestion_status
2026-08-20,3,ADMISSION,Admission Processing,True,True,0.4420131799844659,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,4,ADMISSION,Admission Processing,True,True,0.4705486343345452,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-20,5,ADMISSION,Admission Processing,True,True,0.3987733944513996,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-20,6,ADMISSION,Admission Processing,True,True,0.7335297660879703,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,7,ADMISSION,Admission Processing,True,True,1.4435452527721182,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,8,ADMISSION,Admission Processing,True,True,2.9899167234937,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-20,9,ADMISSION,Admission Processing,True,True,3.610753274867139,7,7,0,0,0.0,0.0,24.0,29.166666666666668,Low
2026-08-20,10,ADMISSION,Admission Processing,True,True,3.332401389702996,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-20,11,ADMISSION,Admission Processing,True,True,3.260711731178538,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-20,12,ADMISSION,Admission Processing,True,True,2.988619203138823,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-20,13,ADMISSION,Admission Processing,True,True,2.362792962486188,4,4,0,0,0.0,0.0,24.0,16.666666666666664,Low
2026-08-20,14,ADMISSION,Admission Processing,True,True,2.3772816275023567,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-20,15,ADMISSION,Admission Processing,True,True,2.3435056531435743,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-20,16,ADMISSION,Admission Processing,True,True,2.0954865244090186,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-20,17,ADMISSION,Admission Processing,True,True,0.9509132296922812,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,18,ADMISSION,Admission Processing,True,True,0.6742662232000942,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-20,19,ADMISSION,Admission Processing,True,True,0.4970953909966378,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,20,ADMISSION,Admission Processing,True,True,0.3995035991840747,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,21,ADMISSION,Admission Processing,True,True,0.3602979723432905,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-20,22,ADMISSION,Admission Processing,True,True,0.2550281381397032,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-20,23,ADMISSION,Admission Processing,True,True,0.2550281381397032,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,0,ADMISSION,Admission Processing,True,True,2.0701624375630336,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-21,1,ADMISSION,Admission Processing,True,True,0.9252807219197156,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-21,2,ADMISSION,Admission Processing,True,True,0.4788134398274045,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-21,3,ADMISSION,Admission Processing,True,True,0.4415875875551461,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,4,ADMISSION,Admission Processing,True,True,0.4701230419052254,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-21,5,ADMISSION,Admission Processing,True,True,0.3941975828503629,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-21,6,ADMISSION,Admission Processing,True,True,0.7333190076052871,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,7,ADMISSION,Admission Processing,True,True,1.4350739694722805,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,8,ADMISSION,Admission Processing,True,True,2.879628695227541,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-21,9,ADMISSION,Admission Processing,True,True,3.4619349215775683,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-21,10,ADMISSION,Admission Processing,True,True,3.158527503301249,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-21,11,ADMISSION,Admission Processing,True,True,3.2282493780334,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-21,12,ADMISSION,Admission Processing,True,True,2.9696427510238728,4,4,0,0,0.0,0.0,24.0,16.666666666666664,Low
2026-08-21,13,ADMISSION,Admission Processing,True,True,2.2707380583603536,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,14,ADMISSION,Admission Processing,True,True,2.2996487295871537,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,15,ADMISSION,Admission Processing,True,True,2.3820028946187355,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,16,ADMISSION,Admission Processing,True,True,2.0797087473862064,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-21,17,ADMISSION,Admission Processing,True,True,0.9451048348039818,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,18,ADMISSION,Admission Processing,True,True,0.6748899067919465,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-21,19,ADMISSION,Admission Processing,True,True,0.4977190745884901,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-21,20,ADMISSION,Admission Processing,True,True,0.400127282775927,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-21,21,ADMISSION,Admission Processing,True,True,0.3609216559351427,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-21,22,ADMISSION,Admission Processing,True,True,0.2556518217315555,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-21,23,ADMISSION,Admission Processing,True,True,0.2556518217315555,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,0,ADMISSION,Admission Processing,True,True,1.9290999893527985,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-22,1,ADMISSION,Admission Processing,True,True,0.912632770888352,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,2,ADMISSION,Admission Processing,True,True,0.4112027707921451,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,3,ADMISSION,Admission Processing,True,True,0.3523717264246217,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,4,ADMISSION,Admission Processing,True,True,0.347739218276597,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-22,5,ADMISSION,Admission Processing,True,True,0.2745769443710967,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-22,6,ADMISSION,Admission Processing,True,True,0.5621886156479263,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,7,ADMISSION,Admission Processing,True,True,0.8411319434571468,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,8,ADMISSION,Admission Processing,True,True,0.9822443814186546,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,9,ADMISSION,Admission Processing,True,True,1.0234656958930133,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,10,ADMISSION,Admission Processing,True,True,1.1137506297149555,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,11,ADMISSION,Admission Processing,True,True,1.157715707477477,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,12,ADMISSION,Admission Processing,True,True,1.0254886101828644,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,13,ADMISSION,Admission Processing,True,True,1.0113298727339477,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-22,14,ADMISSION,Admission Processing,True,True,1.0113298727339477,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-22,15,ADMISSION,Admission Processing,True,True,1.0030954401279206,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,16,ADMISSION,Admission Processing,True,True,0.9060106029726216,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-22,17,ADMISSION,Admission Processing,True,True,0.6808256496890712,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,18,ADMISSION,Admission Processing,True,True,0.4709288207000853,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,19,ADMISSION,Admission Processing,True,True,0.3937867330320469,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,20,ADMISSION,Admission Processing,True,True,0.3937867330320469,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,21,ADMISSION,Admission Processing,True,True,0.2788313914895021,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-22,22,ADMISSION,Admission Processing,True,True,0.2721289625259552,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-22,23,ADMISSION,Admission Processing,True,True,0.2721289625259552,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-23,0,ADMISSION,Admission Processing,True,True,1.8439558096207629,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-23,1,ADMISSION,Admission Processing,True,True,0.8921650348371465,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-23,2,ADMISSION,Admission Processing,True,True,0.4078198944261969,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,3,ADMISSION,Admission Processing,True,True,0.3489888500586735,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,4,ADMISSION,Admission Processing,True,True,0.3443563419106488,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,5,ADMISSION,Admission Processing,True,True,0.2711940680051485,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,6,ADMISSION,Admission Processing,True,True,0.5588057392819781,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,7,ADMISSION,Admission Processing,True,True,0.8377490670911985,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,8,ADMISSION,Admission Processing,True,True,0.9734069557698748,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,9,ADMISSION,Admission Processing,True,True,1.013455521490492,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-23,10,ADMISSION,Admission Processing,True,True,1.092618870607156,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-23,11,ADMISSION,Admission Processing,True,True,1.1365839483696776,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-23,12,ADMISSION,Admission Processing,True,True,1.0043568510750651,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-23,13,ADMISSION,Admission Processing,True,True,0.9901981136261518,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,14,ADMISSION,Admission Processing,True,True,0.9901981136261518,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-23,15,ADMISSION,Admission Processing,True,True,0.981963681020124,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-23,16,ADMISSION,Admission Processing,True,True,0.8953899698375783,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,17,ADMISSION,Admission Processing,True,True,0.6868803632690647,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-23,18,ADMISSION,Admission Processing,True,True,0.4769835342800786,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,19,ADMISSION,Admission Processing,True,True,0.3998414466120403,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-23,20,ADMISSION,Admission Processing,True,True,0.3998414466120403,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-23,21,ADMISSION,Admission Processing,True,True,0.2848861050694954,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,22,ADMISSION,Admission Processing,True,True,0.2781836761059486,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-23,23,ADMISSION,Admission Processing,True,True,0.2781836761059486,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,0,ADMISSION,Admission Processing,True,True,1.7219486838189066,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-24,1,ADMISSION,Admission Processing,True,True,0.9191629775907026,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-24,2,ADMISSION,Admission Processing,True,True,0.4788537312292106,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-24,3,ADMISSION,Admission Processing,True,True,0.4518714045338698,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,4,ADMISSION,Admission Processing,True,True,0.4813981897277459,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,5,ADMISSION,Admission Processing,True,True,0.4400033589708481,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-24,6,ADMISSION,Admission Processing,True,True,0.8058619954754462,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-24,7,ADMISSION,Admission Processing,True,True,1.5238571502319045,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-24,8,ADMISSION,Admission Processing,True,True,2.9994009024973725,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-24,9,ADMISSION,Admission Processing,True,True,3.5526263617980165,7,7,0,0,0.0,0.0,24.0,29.166666666666668,Low
2026-08-24,10,ADMISSION,Admission Processing,True,True,3.437280458464259,4,4,0,0,0.0,0.0,24.0,16.666666666666664,Low
2026-08-24,11,ADMISSION,Admission Processing,True,True,3.325040795431028,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,12,ADMISSION,Admission Processing,True,True,3.0367862678759683,4,4,0,0,0.0,0.0,24.0,16.666666666666664,Low
2026-08-24,13,ADMISSION,Admission Processing,True,True,2.401189726364662,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-24,14,ADMISSION,Admission Processing,True,True,2.40617729484984,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-24,15,ADMISSION,Admission Processing,True,True,2.3707885741077805,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-24,16,ADMISSION,Admission Processing,True,True,2.122769445373225,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,17,ADMISSION,Admission Processing,True,True,0.9529174014541136,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,18,ADMISSION,Admission Processing,True,True,0.6762703949619264,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,19,ADMISSION,Admission Processing,True,True,0.49909956275847,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-24,20,ADMISSION,Admission Processing,True,True,0.4015077709459072,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,21,ADMISSION,Admission Processing,True,True,0.363476122017372,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,22,ADMISSION,Admission Processing,True,True,0.2582062878137848,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-24,23,ADMISSION,Admission Processing,True,True,0.2582062878137848,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-25,0,ADMISSION,Admission Processing,True,True,2.131462975545903,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-25,1,ADMISSION,Admission Processing,True,True,0.9111909429922112,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-25,2,ADMISSION,Admission Processing,True,True,0.4730820155354714,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-25,3,ADMISSION,Admission Processing,True,True,0.4283755359957126,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,4,ADMISSION,Admission Processing,True,True,0.4756264740340067,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-25,5,ADMISSION,Admission Processing,True,True,0.4342316432771089,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-25,6,ADMISSION,Admission Processing,True,True,0.8098617136611258,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,7,ADMISSION,Admission Processing,True,True,1.5362421330143348,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,8,ADMISSION,Admission Processing,True,True,2.892756980927075,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-25,9,ADMISSION,Admission Processing,True,True,3.560657428867163,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-25,10,ADMISSION,Admission Processing,True,True,3.4440467800848977,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-25,11,ADMISSION,Admission Processing,True,True,3.3290405136167074,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-25,12,ADMISSION,Admission Processing,True,True,3.040785986061648,4,4,0,0,0.0,0.0,24.0,16.666666666666664,Low
2026-08-25,13,ADMISSION,Admission Processing,True,True,2.399472755371013,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,14,ADMISSION,Admission Processing,True,True,2.4044603238561906,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,15,ADMISSION,Admission Processing,True,True,2.3690716031141315,3,3,0,0,0.0,0.0,24.0,12.5,Low
2026-08-25,16,ADMISSION,Admission Processing,True,True,2.121052474379576,2,2,0,0,0.0,0.0,24.0,8.333333333333332,Low
2026-08-25,17,ADMISSION,Admission Processing,True,True,0.9512004304604644,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,18,ADMISSION,Admission Processing,True,True,0.6745534239682772,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,19,ADMISSION,Admission Processing,True,True,0.4973825917648208,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,20,ADMISSION,Admission Processing,True,True,0.399790799952258,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-25,21,ADMISSION,Admission Processing,True,True,0.3617591510237228,1,1,0,0,0.0,0.0,24.0,4.166666666666666,Low
2026-08-25,22,ADMISSION,Admission Processing,True,True,0.2564893168201356,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-25,23,ADMISSION,Admission Processing,True,True,0.2564893168201356,0,0,0,0,0.0,0.0,24.0,0.0,Low
2026-08-26,0,ADMISSION,Admission Processing,True,True,2.015862158341789,5,5,0,0,0.0,0.0,24.0,20.833333333333336,Low
2026-08-19,1,ANAESTHESIA,Anaesthesia Service,False,False,0.0004894227732387,0,0,0,0,0.0,0.0,0.0,0.0,Closed
2026-08-19,2,ANAESTHESIA,Anaesthesia Service,False,False,0.1928485619457723,0,0,0,0,0.0,0.0,0.0,0.0,Closed
2026-08-19,3,ANAESTHESIA,Anaesthesia Service,False,False,0.1928485619457723,1,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-19,4,ANAESTHESIA,Anaesthesia Service,False,False,0.1950979642073707,1,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-19,5,ANAESTHESIA,Anaesthesia Service,False,False,0.1851099421568054,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-19,6,ANAESTHESIA,Anaesthesia Service,False,False,0.2927591160738241,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-19,7,ANAESTHESIA,Anaesthesia Service,False,False,0.3005777475689484,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-19,8,ANAESTHESIA,Anaesthesia Service,False,True,0.347955883146599,0,2,0,0,261.5,288.0,12.0,0.0,Low
2026-08-19,9,ANAESTHESIA,Anaesthesia Service,False,True,0.3458732763056948,1,1,0,0,0.0,0.0,12.0,8.333333333333332,Low
2026-08-19,10,ANAESTHESIA,Anaesthesia Service,False,True,0.2210401413960455,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,11,ANAESTHESIA,Anaesthesia Service,False,True,0.2211277506437843,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,12,ANAESTHESIA,Anaesthesia Service,False,True,0.1771344955180175,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,13,ANAESTHESIA,Anaesthesia Service,False,True,0.1567003974084722,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,14,ANAESTHESIA,Anaesthesia Service,False,True,0.1567003974084722,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,15,ANAESTHESIA,Anaesthesia Service,False,True,0.1555132310553673,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,16,ANAESTHESIA,Anaesthesia Service,False,True,0.1481445538008281,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-19,17,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,0,0,0,0,0.0,0.0,0.0,0.0,Closed
2026-08-19,18,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,1,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-19,19,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-19,20,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-19,21,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-19,22,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-19,23,ANAESTHESIA,Anaesthesia Service,False,False,0.1300041546299128,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-20,0,ANAESTHESIA,Anaesthesia Service,False,False,0.1525248376937078,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-20,1,ANAESTHESIA,Anaesthesia Service,False,False,0.1525248376937078,0,0,1,1,0.0,0.0,0.0,0.0,Closed
2026-08-20,2,ANAESTHESIA,Anaesthesia Service,False,False,0.1518793997910408,1,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-20,3,ANAESTHESIA,Anaesthesia Service,False,False,0.1518793997910408,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-20,4,ANAESTHESIA,Anaesthesia Service,False,False,0.1541288020526391,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-20,5,ANAESTHESIA,Anaesthesia Service,False,False,0.131138291167955,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-20,6,ANAESTHESIA,Anaesthesia Service,False,False,0.2387874650849737,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-20,7,ANAESTHESIA,Anaesthesia Service,False,False,0.246606096580098,0,0,2,2,0.0,0.0,0.0,0.0,Closed
2026-08-20,8,ANAESTHESIA,Anaesthesia Service,False,True,0.3005103134210652,0,2,0,0,548.5,791.0,12.0,0.0,Low
2026-08-20,9,ANAESTHESIA,Anaesthesia Service,False,True,0.3137884481534819,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,10,ANAESTHESIA,Anaesthesia Service,False,True,0.204017876149722,1,1,0,0,0.0,0.0,12.0,8.333333333333332,Low
2026-08-20,11,ANAESTHESIA,Anaesthesia Service,False,True,0.2041054853974607,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,12,ANAESTHESIA,Anaesthesia Service,False,True,0.1707148369263652,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,13,ANAESTHESIA,Anaesthesia Service,False,True,0.1502807388168198,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,14,ANAESTHESIA,Anaesthesia Service,False,True,0.1502807388168198,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,15,ANAESTHESIA,Anaesthesia Service,False,True,0.149093572463715,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,16,ANAESTHESIA,Anaesthesia Service,False,True,0.1417248952091758,0,0,0,0,0.0,0.0,12.0,0.0,Low
2026-08-20,17,ANAESTHESIA,Anaesthesia Service,False,False,0.1235844960382604,0,0,0,0,0.0,0.0,0.0,0.0,Closed
