department,service,demand,patients_arrivals,patients_served,patients_remaining,daily_capacity,capacity_utilization_pct,maximum_queue,average_wait_minutes,maximum_wait_minutes,congestion_status,date
DAYCASE,Day Surgery,7.832018365210757,8,7,1,54.0,14.503737713353257,1,0.0,0.0,Moderate,2026-08-21
DENTAL,Dental Consultation,13.897665165912091,14,13,1,108.0,12.86820848695564,1,0.0,0.0,Moderate,2026-08-21
DIABETIC CLINIC,Diabetic Clinic Consultation,0.0508269508330261,1,1,0,162.0,0.0313746610080408,1,0.0,0.0,Low,2026-08-21
EYE CLINIC,Ophthalmology Consultation,9.745763729346493,10,9,1,108.0,9.023855304950455,1,0.0,0.0,Moderate,2026-08-21
FAMILY CLINIC,Family Clinic Consultation,0.0529368186904549,1,1,0,162.0,0.0326770485743548,1,0.0,0.0,Low,2026-08-21
FAMILY MEDICINE,Family Medicine Consultation,0.1463687729947707,1,1,0,162.0,0.0903510944412164,1,0.0,0.0,Low,2026-08-21
GENERAL OPD,General Consultation,116.949295919598,117,117,0,324.0,36.09546170357963,1,0.0512820512820512,3.0,Low,2026-08-21
Gen Surg OPD,Surgical Consultation,6.056766973894039,7,6,1,162.0,3.738745045613604,1,0.0,0.0,Moderate,2026-08-21
Gynae OPD,Gynaecology Consultation,0.0822975121733886,1,1,0,108.0,0.076201400160545,1,0.0,0.0,Low,2026-08-21
HTS,HIV Testing Service,0.0710228149108265,1,1,0,162.0,0.0438412437721151,1,0.0,0.0,Low,2026-08-21
MATERNITY NURSERY,Maternity/Nursery Care,0.084527912072833,1,1,0,288.0,0.0293499694697336,1,0.0,0.0,Low,2026-08-21
MCH,Maternal and Child Health Consultation,51.42653528198783,52,49,3,162.0,31.744774865424585,3,0.0,0.0,Moderate,2026-08-21
MEB PHYSIOTHERAPY,Physiotherapy Treatment,2.427833031231609,3,3,0,108.0,2.2479935474366752,1,0.0,0.0,Low,2026-08-21
MEB SPECIALITY CLINIC,Speciality Consultation,47.23560387813018,48,45,3,108.0,43.73667025752794,3,0.2444444444444444,10.0,Moderate,2026-08-21
MENTAL HEALTH,Mental Health Consultation,0.0710228149108265,1,1,0,72.0,0.098642798487259,1,0.0,0.0,Low,2026-08-21
MORGUE,Mortuary Service,0.0710228149108265,1,1,0,288.0,0.0246606996218147,1,0.0,0.0,Low,2026-08-21
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0456117993071637,1,1,0,108.0,0.042233147506633,1,0.0,0.0,Low,2026-08-21
NEUROSURGERY,Neurosurgical Consultation,1.6656846760083357,2,2,0,108.0,1.5423006259336445,1,0.0,0.0,Low,2026-08-21
NUTRITION,Nutrition Consultation,0.7110947901438237,1,1,0,108.0,0.6584211019850219,1,0.0,0.0,Low,2026-08-21
OCCUPATIONAL THERAPY,Occupational Therapy,0.6387171481793712,1,1,0,108.0,0.5914047668327511,1,0.0,0.0,Low,2026-08-21
OHNS,ENT Consultation,8.167184864041165,9,8,1,108.0,7.562208207445523,1,0.0,0.0,Moderate,2026-08-21
ONCOLOGY,Oncology Consultation,15.033614201325747,16,15,1,108.0,13.920013149375691,1,0.0,0.0,Moderate,2026-08-21
Ortho OPD,Orthopaedic Consultation,0.4691371581084153,1,1,0,162.0,0.2895908383385279,1,0.0,0.0,Low,2026-08-21
PAEDS,Paediatric Consultation,0.0710228149108265,1,1,0,162.0,0.0438412437721151,1,0.0,0.0,Low,2026-08-21
PAEDS BKKH,Paediatric Surgical Service,10.441758929541322,11,10,1,108.0,9.668295305130854,1,0.0,0.0,Moderate,2026-08-21
PALLIATIVE,Palliative Care Consultation,0.2384470196926319,1,1,0,108.0,0.2207842774931777,1,0.0,0.0,Low,2026-08-21
PATHOLOGY,Pathology Service,0.0710228149108265,1,1,0,162.0,0.0438412437721151,1,0.0,0.0,Low,2026-08-21
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,1.2481343848530682,2,2,0,108.0,1.155679985975063,1,0.0,0.0,Low,2026-08-21
PHYSIOTHERAPY,Physiotherapy Treatment,7.010013823662796,8,7,1,108.0,6.490753540428515,1,0.0,0.0,Moderate,2026-08-21
PRIVATE CLINIC,Private Consultation,5.374721881730208,6,5,1,108.0,4.976594334935378,1,0.0,0.0,Moderate,2026-08-21
PSYCHOLOGY,Psychology Consultation,1.7938850490469362,2,2,0,72.0,2.491507012565189,1,0.0,0.0,Low,2026-08-21
RENAL,Dialysis,15.99176328194253,16,7,9,13.5,118.4575057921669,9,6.714285714285714,47.0,Critical,2026-08-21
RESPIRATORY CENTER,Respiratory Consultation,0.0710228149108265,1,1,0,108.0,0.0657618656581726,1,0.0,0.0,Low,2026-08-21
SPECIALITY CLINIC,Speciality Consultation,16.294210373032723,17,16,1,108.0,15.08723182688215,1,0.0,0.0,Moderate,2026-08-21
TELEMEDICINE,Telemedicine Consultation,4.420900363789318,5,5,0,162.0,2.728950841845258,1,0.0,0.0,Low,2026-08-21
ADMISSION,Admission Processing,21.368173889428537,22,22,0,576.0,3.709752411359122,1,0.0,0.0,Low,2026-08-22
ANAESTHESIA,Anaesthesia Service,0.0192520306706678,1,1,0,108.0,0.0178259543246924,1,0.0,0.0,Low,2026-08-22
Audiology,Audiology Assessment,0.1612201622061431,1,1,0,108.0,0.149277927968651,1,0.0,0.0,Low,2026-08-22
CARDIOLOGY,Cardiology Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
CASUALTY,Emergency Consultation,3.1883507482595177,4,4,0,432.0,0.7380441546897032,1,0.0,0.0,Low,2026-08-22
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,0.3408843355895889,1,1,0,162.0,0.2104224293762894,1,0.0,0.0,Low,2026-08-22
DAYCASE,Day Surgery,0.4647489859096025,1,1,0,54.0,0.8606462702029676,1,0.0,0.0,Low,2026-08-22
DENTAL,Dental Consultation,0.1758882333527543,1,1,0,108.0,0.1628594753266243,1,0.0,0.0,Low,2026-08-22
DIABETIC CLINIC,Diabetic Clinic Consultation,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-22
EYE CLINIC,Ophthalmology Consultation,0.1409123703647988,1,1,0,108.0,0.1304744170044433,1,0.0,0.0,Low,2026-08-22
FAMILY CLINIC,Family Clinic Consultation,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-22
FAMILY MEDICINE,Family Medicine Consultation,0.0168471130286679,1,1,0,162.0,0.010399452486832,1,0.0,0.0,Low,2026-08-22
GENERAL OPD,General Consultation,42.408197903609526,43,43,0,324.0,13.088949970249852,1,0.0,0.0,Low,2026-08-22
Gen Surg OPD,Surgical Consultation,1.3514741065370288,2,2,0,162.0,0.8342432756401412,1,0.0,0.0,Low,2026-08-22
Gynae OPD,Gynaecology Consultation,0.0045262184294661,1,1,0,108.0,0.0041909429902463,1,0.0,0.0,Low,2026-08-22
HTS,HIV Testing Service,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-22
MATERNITY NURSERY,Maternity/Nursery Care,0.0120392090470788,1,1,0,288.0,0.0041802809191245,1,0.0,0.0,Low,2026-08-22
MCH,Maternal and Child Health Consultation,6.054615676190709,7,6,1,162.0,3.7374170840683383,1,0.0,0.0,Moderate,2026-08-22
MEB PHYSIOTHERAPY,Physiotherapy Treatment,0.1031571336981423,1,1,0,108.0,0.0955158645353169,1,0.0,0.0,Low,2026-08-22
MEB SPECIALITY CLINIC,Speciality Consultation,2.113826291229534,3,3,0,108.0,1.957246565953272,1,0.0,0.0,Low,2026-08-22
MENTAL HEALTH,Mental Health Consultation,0.0,0,0,0,72.0,0.0,0,0.0,0.0,Low,2026-08-22
MORGUE,Mortuary Service,0.0,0,0,0,288.0,0.0,0,0.0,0.0,Low,2026-08-22
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
NEUROSURGERY,Neurosurgical Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
NUTRITION,Nutrition Consultation,0.0583100341813365,1,1,0,108.0,0.0539907723901263,1,0.0,0.0,Low,2026-08-22
OCCUPATIONAL THERAPY,Occupational Therapy,0.028976097117251,1,1,0,108.0,0.0268297195530101,1,0.0,0.0,Low,2026-08-22
OHNS,ENT Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
ONCOLOGY,Oncology Consultation,0.0877915875320383,1,1,0,108.0,0.0812885069741095,1,0.0,0.0,Low,2026-08-22
Ortho OPD,Orthopaedic Consultation,0.0804669948844118,1,1,0,162.0,0.0496709844965504,1,0.0,0.0,Low,2026-08-22
PAEDS,Paediatric Consultation,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-22
PAEDS BKKH,Paediatric Surgical Service,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
PALLIATIVE,Palliative Care Consultation,0.0495965645209591,1,1,0,108.0,0.0459227449268139,1,0.0,0.0,Low,2026-08-22
PATHOLOGY,Pathology Service,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-22
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
PHYSIOTHERAPY,Physiotherapy Treatment,0.5359628747617757,1,1,0,108.0,0.4962619210757183,1,0.0,0.0,Low,2026-08-22
PRIVATE CLINIC,Private Consultation,0.1575793319781706,1,1,0,108.0,0.1459067888686764,1,0.0,0.0,Low,2026-08-22
PSYCHOLOGY,Psychology Consultation,0.1223919864403038,1,1,0,72.0,0.1699888700559775,1,0.0,0.0,Low,2026-08-22
RENAL,Dialysis,10.922556087129498,11,5,6,13.5,80.90782286762591,6,0.0,0.0,Moderate,2026-08-22
RESPIRATORY CENTER,Respiratory Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-22
SPECIALITY CLINIC,Speciality Consultation,0.3365868076133648,1,1,0,108.0,0.3116544514938563,1,0.0,0.0,Low,2026-08-22
TELEMEDICINE,Telemedicine Consultation,0.1551108939927126,1,1,0,162.0,0.0957474654276003,1,0.0,0.0,Low,2026-08-22
ADMISSION,Admission Processing,18.612932298262464,19,19,0,576.0,3.231411857337233,1,0.0,0.0,Low,2026-08-23
ANAESTHESIA,Anaesthesia Service,0.0192520306706678,1,1,0,108.0,0.0178259543246924,1,0.0,0.0,Low,2026-08-23
Audiology,Audiology Assessment,0.1130194306231503,1,1,0,108.0,0.1046476209473614,1,0.0,0.0,Low,2026-08-23
CARDIOLOGY,Cardiology Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-23
CASUALTY,Emergency Consultation,3.2683713427232712,4,4,0,432.0,0.7565674404452016,1,0.0,0.0,Low,2026-08-23
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,0.8154650079850456,1,1,0,162.0,0.503373461719164,1,0.0,0.0,Low,2026-08-23
DAYCASE,Day Surgery,0.2387455350547736,1,1,0,54.0,0.4421213612125437,1,0.0,0.0,Low,2026-08-23
DENTAL,Dental Consultation,0.0810353558542679,1,1,0,108.0,0.0750327369020999,1,0.0,0.0,Low,2026-08-23
DIABETIC CLINIC,Diabetic Clinic Consultation,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-23
EYE CLINIC,Ophthalmology Consultation,0.1784910191684304,1,1,0,108.0,0.1652694621929911,1,0.0,0.0,Low,2026-08-23
FAMILY CLINIC,Family Clinic Consultation,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-23
FAMILY MEDICINE,Family Medicine Consultation,0.0168471130286679,1,1,0,162.0,0.010399452486832,1,0.0,0.0,Low,2026-08-23
GENERAL OPD,General Consultation,30.365127183490674,31,31,0,324.0,9.371952834410704,1,0.0,0.0,Low,2026-08-23
Gen Surg OPD,Surgical Consultation,2.5577717158940394,3,3,0,162.0,1.578871429564222,1,0.0,0.0,Low,2026-08-23
Gynae OPD,Gynaecology Consultation,0.0045262184294661,1,1,0,108.0,0.0041909429902463,1,0.0,0.0,Low,2026-08-23
HTS,HIV Testing Service,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-23
MATERNITY NURSERY,Maternity/Nursery Care,0.0120392090470788,1,1,0,288.0,0.0041802809191245,1,0.0,0.0,Low,2026-08-23
MCH,Maternal and Child Health Consultation,4.500439282127985,5,5,0,162.0,2.778048939585176,1,0.0,0.0,Low,2026-08-23
MEB PHYSIOTHERAPY,Physiotherapy Treatment,0.0549564021151492,1,1,0,108.0,0.050885557514027,1,0.0,0.0,Low,2026-08-23
MEB SPECIALITY CLINIC,Speciality Consultation,0.4322569867401825,1,1,0,108.0,0.4002379506853541,1,0.0,0.0,Low,2026-08-23
MENTAL HEALTH,Mental Health Consultation,0.0,0,0,0,72.0,0.0,0,0.0,0.0,Low,2026-08-23
MORGUE,Mortuary Service,0.0,0,0,0,288.0,0.0,0,0.0,0.0,Low,2026-08-23
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-23
NEUROSURGERY,Neurosurgical Consultation,0.0398366423808499,1,1,0,108.0,0.0368857799822684,1,0.0,0.0,Low,2026-08-23
NUTRITION,Nutrition Consultation,0.0583100341813365,1,1,0,108.0,0.0539907723901263,1,0.0,0.0,Low,2026-08-23
OCCUPATIONAL THERAPY,Occupational Therapy,0.028976097117251,1,1,0,108.0,0.0268297195530101,1,0.0,0.0,Low,2026-08-23
OHNS,ENT Consultation,0.0672407670916038,1,1,0,108.0,0.0622599695292627,1,0.0,0.0,Low,2026-08-23
ONCOLOGY,Oncology Consultation,0.0696880240169401,1,1,0,108.0,0.0645259481638334,1,0.0,0.0,Low,2026-08-23
Ortho OPD,Orthopaedic Consultation,0.2818427409559591,1,1,0,162.0,0.1739770005900982,1,0.0,0.0,Low,2026-08-23
PAEDS,Paediatric Consultation,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-23
PAEDS BKKH,Paediatric Surgical Service,0.0688243199617359,1,1,0,108.0,0.0637262221867925,1,0.0,0.0,Low,2026-08-23
PALLIATIVE,Palliative Care Consultation,0.0495965645209591,1,1,0,108.0,0.0459227449268139,1,0.0,0.0,Low,2026-08-23
PATHOLOGY,Pathology Service,0.0,0,0,0,162.0,0.0,0,0.0,0.0,Low,2026-08-23
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-23
PHYSIOTHERAPY,Physiotherapy Treatment,0.3882287389018478,1,1,0,108.0,0.3594710545387479,1,0.0,0.0,Low,2026-08-23
PRIVATE CLINIC,Private Consultation,0.1306458013532558,1,1,0,108.0,0.1209683345863479,1,0.0,0.0,Low,2026-08-23
PSYCHOLOGY,Psychology Consultation,0.074191254857311,1,1,0,72.0,0.103043409524043,1,0.0,0.0,Low,2026-08-23
RENAL,Dialysis,0.5523359271886272,1,0,1,13.5,4.091377238434276,1,0.0,0.0,Moderate,2026-08-23
RESPIRATORY CENTER,Respiratory Consultation,0.0,0,0,0,108.0,0.0,0,0.0,0.0,Low,2026-08-23
SPECIALITY CLINIC,Speciality Consultation,0.3786358856971347,1,1,0,108.0,0.3505887830529025,1,0.0,0.0,Low,2026-08-23
TELEMEDICINE,Telemedicine Consultation,0.1069101624097199,1,1,0,162.0,0.0659939274134073,1,0.0,0.0,Low,2026-08-23
ADMISSION,Admission Processing,38.90761566385355,39,39,0,576.0,6.754794386085686,1,0.0,0.0,Low,2026-08-24
ANAESTHESIA,Anaesthesia Service,1.8464548262104017,2,2,0,108.0,1.7096803946392607,1,0.0,0.0,Low,2026-08-24
Audiology,Audiology Assessment,2.1038914417162102,3,3,0,108.0,1.948047631218713,1,0.0,0.0,Low,2026-08-24
CARDIOLOGY,Cardiology Consultation,0.0781515242886214,1,1,0,108.0,0.0723625224894642,1,0.0,0.0,Low,2026-08-24
CASUALTY,Emergency Consultation,4.972408119814487,5,5,0,432.0,1.1510203981052054,1,0.0,0.0,Low,2026-08-24
CHRONIC CARE CLINIC (DM/HTN/TB/CCC),Chronic Care Consultation,41.41923299390351,42,39,3,162.0,25.56742777401451,3,0.0,0.0,Moderate,2026-08-24
DAYCASE,Day Surgery,7.241271307847185,8,7,1,54.0,13.409761681198493,1,0.0,0.0,Moderate,2026-08-24
DENTAL,Dental Consultation,18.94400995190346,19,18,1,108.0,17.54074995546617,1,0.0,0.0,Moderate,2026-08-24
DIABETIC CLINIC,Diabetic Clinic Consultation,0.071362375488452,1,1,0,162.0,0.0440508490669456,1,0.0,0.0,Low,2026-08-24
EYE CLINIC,Ophthalmology Consultation,9.257954818769022,10,9,1,108.0,8.572180387749095,1,0.0,0.0,Moderate,2026-08-24
FAMILY CLINIC,Family Clinic Consultation,0.0957958471651244,1,1,0,162.0,0.0591332389908175,1,0.0,0.0,Low,2026-08-24
FAMILY MEDICINE,Family Medicine Consultation,0.1582344028433146,1,1,0,162.0,0.097675557310688,1,0.0,0.0,Low,2026-08-24
GENERAL OPD,General Consultation,143.2870966788592,144,144,0,324.0,44.22441255520346,1,0.0902777777777777,6.0,Low,2026-08-24
Gen Surg OPD,Surgical Consultation,7.792429967364582,8,7,1,162.0,4.8101419551633215,1,0.0,0.0,Moderate,2026-08-24
Gynae OPD,Gynaecology Consultation,0.0731030077486852,1,1,0,108.0,0.0676879701376714,1,0.0,0.0,Low,2026-08-24
HTS,HIV Testing Service,0.0528044193112561,1,1,0,162.0,0.0325953205625037,1,0.0,0.0,Low,2026-08-24
MATERNITY NURSERY,Maternity/Nursery Care,0.0855407325145741,1,1,0,288.0,0.0297016432342271,1,0.0,0.0,Low,2026-08-24
MCH,Maternal and Child Health Consultation,46.24718461130605,47,44,3,162.0,28.547644821793856,3,0.0,0.0,Moderate,2026-08-24
MEB PHYSIOTHERAPY,Physiotherapy Treatment,8.11598709651408,9,8,1,108.0,7.514802867142666,1,0.0,0.0,Moderate,2026-08-24
MEB SPECIALITY CLINIC,Speciality Consultation,61.87681846941321,62,59,3,108.0,57.293350434641866,3,2.0508474576271185,15.0,Moderate,2026-08-24
MENTAL HEALTH,Mental Health Consultation,0.0528044193112561,1,1,0,72.0,0.0733394712656334,1,0.0,0.0,Low,2026-08-24
MORGUE,Mortuary Service,0.0528044193112561,1,1,0,288.0,0.0183348678164083,1,0.0,0.0,Low,2026-08-24
NEURO SURGERY CONSULTATION,Neurosurgical Consultation,0.0546155331238544,1,1,0,108.0,0.0505699380776429,1,0.0,0.0,Low,2026-08-24
NEUROSURGERY,Neurosurgical Consultation,0.7134143391743172,1,1,0,108.0,0.6605688325688122,1,0.0,0.0,Low,2026-08-24
NUTRITION,Nutrition Consultation,0.7956188786502534,1,1,0,108.0,0.7366841468983827,1,0.0,0.0,Low,2026-08-24
OCCUPATIONAL THERAPY,Occupational Therapy,0.7984161367729278,1,1,0,108.0,0.7392742007156738,1,0.0,0.0,Low,2026-08-24
OHNS,ENT Consultation,22.00701496354615,23,21,2,108.0,20.37686570698717,2,0.0,0.0,Moderate,2026-08-24
ONCOLOGY,Oncology Consultation,20.59902906152559,21,20,1,108.0,19.07317505696814,1,0.0,0.0,Moderate,2026-08-24
Ortho OPD,Orthopaedic Consultation,1.140666597375313,2,2,0,162.0,0.704115183565008,1,0.0,0.0,Low,2026-08-24
PAEDS,Paediatric Consultation,0.0528044193112561,1,1,0,162.0,0.0325953205625037,1,0.0,0.0,Low,2026-08-24
PAEDS BKKH,Paediatric Surgical Service,14.100177628025408,15,14,1,108.0,13.055720025949451,1,0.0,0.0,Moderate,2026-08-24
PALLIATIVE,Palliative Care Consultation,0.2337446792927966,1,1,0,108.0,0.2164302586044413,1,0.0,0.0,Low,2026-08-24
PATHOLOGY,Pathology Service,0.0528044193112561,1,1,0,162.0,0.0325953205625037,1,0.0,0.0,Low,2026-08-24
PEDIATRIC NEUROLOGY,Paediatric Neurology Consultation,0.0528044193112561,1,1,0,108.0,0.0488929808437556,1,0.0,0.0,Low,2026-08-24
PHYSIOTHERAPY,Physiotherapy Treatment,5.546438740353056,6,5,1,108.0,5.13559142625283,1,0.0,0.0,Moderate,2026-08-24
PRIVATE CLINIC,Private Consultation,7.2693566196288595,8,7,1,108.0,6.730885758915611,1,0.0,0.0,Moderate,2026-08-24
PSYCHOLOGY,Psychology Consultation,1.4838856287063198,2,2,0,72.0,2.0609522620921106,1,0.0,0.0,Low,2026-08-24
RENAL,Dialysis,16.571430711852404,17,7,10,13.5,122.7513386063141,10,6.714285714285714,47.0,Critical,2026-08-24
RESPIRATORY CENTER,Respiratory Consultation,0.0528044193112561,1,1,0,108.0,0.0488929808437556,1,0.0,0.0,Low,2026-08-24
SPECIALITY CLINIC,Speciality Consultation,33.28566470143579,34,31,3,108.0,30.820059908736848,3,0.0,0.0,Moderate,2026-08-24
TELEMEDICINE,Telemedicine Consultation,0.84587924255792,1,1,0,162.0,0.5221476805913087,1,0.0,0.0,Low,2026-08-24
ADMISSION,Admission Processing,42.31398219889972,43,43,0,576.0,7.346177465086757,1,0.0,0.0,Low,2026-08-25
